city,state,population_male,population_female,literates_male,literates_female,sex_ratio,child_sex_ratio,male_graduates,female_graduates
Nellore,ANDHRA PRADESH,257043,248215,205988,181204,966,937,42377,25410
New Delhi,NCT OF DELHI,136438,113560,118453,89899,832,869,35345,28228
Neyveli,TAMIL NADU,53442,52245,47876,42238,978,898,9716,8791
Nizamabad,ANDHRA PRADESH,155163,155304,119603,102226,1001,968,22062,12512
Noida,UTTAR PRADESH,352577,289804,286216,208829,822,877,80692,62322
North Barrackpur,WEST BENGAL,68136,66689,61810,58144,979,918,13155,9892
North Dum Dum,WEST BENGAL,128620,125005,112967,104404,972,949,24007,16835
Ongole,ANDHRA PRADESH,101728,101098,82322,71566,994,935,20610,11881
Orai,UTTAR PRADESH,99564,87621,79478,59778,880,845,18954,10439
Osmanabad,MAHARASHTRA,58098,53987,47577,39464,929,858,9459,4844
Ozhukarai,PUDUCHERRY,148154,151874,126663,117601,1025,959,28317,22365
Palakkad,KERALA,63833,67186,56065,56414,1053,959,8436,8391
Palanpur,GUJARAT,66384,60741,55139,42320,915,841,9802,5325
Pali,RAJASTHAN,120008,109948,92705,64153,916,880,10768,5466
Pallavaram,TAMIL NADU,108381,107927,93828,88373,996,978,27872,22631
Palwal,HARYANA,67887,60044,52028,38909,884,818,9276,6561
Panchkula,HARYANA,111622,98553,90938,74297,883,839,32821,29834
Panihati,WEST BENGAL,193333,190189,171788,161136,984,959,34203,24464
Panipat,HARYANA,157302,136848,122629,95394,870,843,19231,18642
Panvel,MAHARASHTRA,93135,87329,80790,72348,938,901,20964,18649
Parbhani,MAHARASHTRA,157628,149563,123760,101538,949,891,19600,10435
Patan,GUJARAT,65628,59874,55294,43835,912,865,8422,5008
Pathankot,PUNJAB,77833,70524,64673,54810,906,802,11974,12064
Patiala,PUNJAB,215606,189558,174291,141802,879,859,43389,43308
Patna,BIHAR,894158,789042,694580,569943,882,864,199207,108396
Pilibhit,UTTAR PRADESH,68855,61573,48060,40059,894,917,9986,7522
Pimpri Chinchwad,MAHARASHTRA,945953,783406,784984,590002,828,861,141573,108008
Pithampur,MADHYA PRADESH,70577,55522,54030,33387,787,880,3657,1493
Porbandar,GUJARAT,78490,73646,65171,54374,938,870,5671,4182
Port Blair,ANDAMAN & NICOBAR ISLANDS,53247,47361,44908,37000,889,929,6717,5703
Proddatur,ANDHRA PRADESH,81368,81448,63111,51900,1001,940,11844,6307
Puducherry,PUDUCHERRY,118205,123568,100419,95442,1045,993,21086,16744
Pudukkottai,TAMIL NADU,58601,58614,50798,47256,1000,950,8275,6829
Pune,MAHARASHTRA,1602137,1513294,1361257,1195486,945,896,349022,307486
Puri,ORISSA,104267,96759,88504,75977,928,902,16978,10084
Purnia,BIHAR,148021,132526,100735,77646,895,947,19787,8406
Puruliya,WEST BENGAL,62520,58916,50276,40258,942,955,9581,5212
