Flight_code,Airline
6E-2434,Indigo
6E-2487,Indigo
6E-6622,Indigo
6E-6612,Indigo
6E-2403,Indigo
6E-5608,Indigo
6E-2188,Indigo
6E-5088,Indigo
6E-781,Indigo
6E-2067,Indigo
6E-2515,Indigo
6.00E-308,Indigo
6E-2596,Indigo
6E-2212,Indigo
6E-674,Indigo
6E-774,Indigo
6E-6203,Indigo
6E-2406,Indigo
6E-6618,Indigo
6E-6605,Indigo
6E-2274,Indigo
6E-2004,Indigo
6E-2461,Indigo
6E-2343,Indigo
6E-6371,Indigo
6E-2141,Indigo
6E-2319,Indigo
6E-7148,Indigo
6E-6903,Indigo
6E-2331,Indigo
6E-2061,Indigo
6E-2169,Indigo
6E-5037,Indigo
6E-2059,Indigo
6E-2423,Indigo
6E-2092,Indigo
6E-2334,Indigo
6E-2425,Indigo
6E-2115,Indigo
6E-2517,Indigo
6E-6924,Indigo
6E-603,Indigo
6E-2057,Indigo
6E-5353,Indigo
6E-2106,Indigo
6E-755,Indigo
6E-2415,Indigo
6.00E-214,Indigo
6E-2427,Indigo
6E-2127,Indigo
6E-6557,Indigo
6E-2206,Indigo
6E-6191,Indigo
6E-2093,Indigo
6E-2064,Indigo
6E-2373,Indigo
6E-2513,Indigo
6E-2231,Indigo
6E-442,Indigo
6E-2087,Indigo
6E-6096,Indigo
6E-6051,Indigo
6E-5022,Indigo
6E-6531,Indigo
6E-2148,Indigo
6E-2196,Indigo
6E-2769,Indigo
6E-2282,Indigo
6E-2453,Indigo
6E-6238,Indigo
6E-6603,Indigo
6E-2257,Indigo
6E-6245,Indigo
6E-6361,Indigo
6E-2028,Indigo
6.00E-204,Indigo
6E-5003,Indigo
6E-2275,Indigo
6E-2105,Indigo
6E-2237,Indigo
6E-5913,Indigo
6E-315,Indigo
6.00E-251,Indigo
6E-789,Indigo
6.00E-291,Indigo
6E-5026,Indigo
6E-2175,Indigo
6.00E-154,Indigo
6E-2518,Indigo
6E-2123,Indigo
6E-2051,Indigo
6E-2083,Indigo
6E-2166,Indigo
6E-5219,Indigo
6E-6821,Indigo
6E-2103,Indigo
6E-2113,Indigo
6E-2015,Indigo
6E-2326,Indigo
6E-993,Indigo
6E-2056,Indigo
6E-5238,Indigo
6E-5332,Indigo
6E-2504,Indigo
6E-2137,Indigo
6E-2398,Indigo
6.00E-225,Indigo
6.00E-296,Indigo
6E-5254,Indigo
6E-5269,Indigo
6E-6538,Indigo
6E-5338,Indigo
6E-6177,Indigo
6E-802,Indigo
6E-6085,Indigo
6E-6183,Indigo
6E-2443,Indigo
6E-5358,Indigo
6E-6431,Indigo
6E-843,Indigo
6E-5281,Indigo
6E-2047,Indigo
6.00E-266,Indigo
6E-5315,Indigo
6E-5125,Indigo
6.00E-107,Indigo
6E-3298,Indigo
6.00E-294,Indigo
6E-821,Indigo
6E-5256,Indigo
6E-5252,Indigo
6E-5221,Indigo
6E-5284,Indigo
6E-5294,Indigo
6E-5382,Indigo
6E-5265,Indigo
6E-5337,Indigo
6E-907,Indigo
6E-5213,Indigo
6E-696,Indigo
6E-5352,Indigo
6E-5303,Indigo
6E-5307,Indigo
6E-5211,Indigo
6E-5296,Indigo
6E-332,Indigo
6E-2486,Indigo
6E-5388,Indigo
6E-5271,Indigo
6E-5258,Indigo
6E-5317,Indigo
6E-6293,Indigo
6E-5202,Indigo
6E-772,Indigo
6E-5246,Indigo
6E-5172,Indigo
6.00E-179,Indigo
6E-6571,Indigo
6E-6809,Indigo
6E-461,Indigo
6.00E-157,Indigo
6E-6703,Indigo
6E-5187,Indigo
6E-5267,Indigo
6.00E-138,Indigo
6E-6701,Indigo
6E-5285,Indigo
6.00E-165,Indigo
6E-6674,Indigo
6E-5212,Indigo
6.00E-136,Indigo
6E-7292,Indigo
6E-567,Indigo
6E-5291,Indigo
6E-5206,Indigo
6E-5079,Indigo
6E-5228,Indigo
6.00E-124,Indigo
6.00E-128,Indigo
6E-5287,Indigo
6E-395,Indigo
6E-6514,Indigo
6E-5311,Indigo
6E-5354,Indigo
6E-6749,Indigo
6E-5253,Indigo
6E-5297,Indigo
6E-6083,Indigo
6E-5301,Indigo
6E-5178,Indigo
6E-5305,Indigo
6E-5124,Indigo
6E-5273,Indigo
6E-6064,Indigo
6E-2528,Indigo
6E-6398,Indigo
6E-5262,Indigo
